COREDEP,REPDTE,ASSET,RBC1AAJ,INTINC,NETINC,EQ,LNLSDEPR,LNLSNTV,DEP,RBCRWAJ,CHBAL,CERT,NONII,LNLSNET,ID
526112,20250630,829713,9.73050496095125,23698,2042,77823,93.80848560564252,74.57,659564,13.437192377575457,135637,58348,5199,618727,58348_20250630
207329,20250630,359199,8.61374866160596,10556,1072,30402,101.75757513863499,83.22,293757,11.152115975487616,12860,58377,325,298920,58377_20250630
119190,20250630,190322,12.16868320061663,6772,1471,22397,87.18178547691782,75.12,164001,15.90740631415996,30362,58413,1086,142979,58413_20250630
399023,20250630,551457,16.60700429943886,15377,1679,87975,81.40919799559848,66.61,451207,0.0,26804,58584,390,367324,58584_20250630
538477,20250630,814694,10.260188419083761,23788,5575,64231,80.830320422402,73.43,740148,17.05991048800627,117987,58657,2563,598264,58657_20250630
240673,20250630,426065,12.485492511814899,12208,1196,53097,89.80346386771355,77.47,367566,49.144922504428955,66671,58687,767,330087,58687_20250630
96337,20250630,215388,11.458901404742653,6112,575,24404,93.59636801444768,69.3,159472,17.755023975737373,35946,59182,1072,149260,59182_20250630
44442,20250630,87627,23.50570351665029,2560,-745,18896,99.70010986074408,76.64,67358,0.0,725,59292,44,67156,59292_20250630
668125,20250630,777816,12.061030279997508,19687,6882,87920,57.865622777058576,50.51,678999,21.2480719302793,42897,8033,2446,392907,8033_20250630
33931,20250331,40456,12.609327764059724,499,7,2894,44.53933322384628,40.22,36534,25.625585440920645,8207,10843,19,16272,10843_20250331
372342,20250331,499145,14.105116561890096,6290,886,64568,66.03109820806627,56.59,427806,24.864142480470992,33718,12266,870,282485,12266_20250331
280461,20250331,481561,5.973372228135894,5537,-584,24429,64.90745380471151,43.31,321299,10.501652167604323,17904,16249,1403,208547,16249_20250331
50453,20250331,107504,15.7401758815193,1556,331,16663,48.2409870141481,40.15,89482,0.0,15431,16584,41,43167,16584_20250331
391301,20250331,690859,10.153804373218708,7401,1199,57389,69.9201477372006,52.94,523091,0.0,23837,20179,9867,365746,20179_20250331
398164,20250331,508278,11.363795368506151,5091,954,47870,48.035724541956235,42.78,452686,0.0,23053,20568,830,217451,20568_20250331
47647,20250331,67245,15.400383424273706,665,-39,8484,42.32458764208187,36.82,58505,37.94884407279882,11932,22229,85,24762,22229_20250331
4797736,20250331,6926798,9.876355238090655,93261,15264,652798,92.05818274143024,77.47,5829220,12.930083768414608,339132,24156,7319,5366274,24156_20250331
1093497,20250331,1360753,8.912271231769656,17644,4429,114617,88.21306806916571,80.11,1235699,12.42372568545953,191305,24823,1587,1090048,24823_20250331
54440,20250331,94104,9.607311759392104,1115,7,7793,118.3499837870389,81.45,64763,15.891040476864415,2384,28217,162,76647,28217_20250331
52874,20250331,65256,14.697236005039585,733,53,9328,57.48434219263141,49.09,55723,0.0,9434,29399,60,32032,29399_20250331
182262,20250331,267841,13.862159436444566,4034,421,36562,96.4877923139094,81.12,225186,20.964144885690274,41567,31823,162,217277,31823_20250331
652288,20250331,993844,11.341960449280096,13669,1736,101536,87.83622792678297,77.75,879686,18.658690758841846,87993,33708,1248,772683,33708_20250331
64779,20250331,109457,12.374150245245676,1607,203,14975,101.38719028853558,81.8,88308,17.230480517556423,16381,34334,44,89533,34334_20250331
338905,20250331,546078,10.99058614597896,7376,276,67704,67.96633155128163,55.52,446115,15.157921276946501,97187,34643,731,303208,34643_20250331
242968,20250331,673149,12.22902144415474,9099,1400,79935,63.9708799863766,55.81,587225,19.84009967312794,101456,35241,274,375653,35241_20250331
11953,20250331,18839,14.130086510733738,232,106,2621,67.37518209508674,54.01,15102,21.580734794689718,4378,35314,331,10175,35314_20250331
1986799,20250331,2675803,9.545329798068003,33978,8187,221860,86.52359569797747,75.17,2324767,13.653163368854534,97984,57369,3716,2011472,57369_20250331
2462883,20250331,4748519,12.62937606414157,61630,13151,537643,86.80075828584063,70.19,3839713,0.0,437232,57815,5979,3332900,57815_20250331
355741,20250331,500445,9.458863976475003,6385,1048,42708,90.6269338310883,71.7,395911,0.0,70643,57931,472,358802,57931_20250331
1571247,20250331,3644728,11.68859716228155,52519,16346,425319,113.88495958377396,86.46,2766958,19.971274982391012,254485,58181,5382,3151149,58181_20250331
496051,20250331,735761,11.257773503163627,11229,3320,82042,91.25858177097344,74.23,598507,15.879054160525754,118020,58348,4062,546189,58348_20250331
220789,20250331,352443,8.579756044384775,5183,479,29898,103.55378980431418,83.35,283669,0.0,16336,58377,133,293750,58377_20250331
114689,20250331,185601,11.893505175782304,3390,790,22011,89.87075311526968,77.29,159617,15.937374548374148,19988,58413,510,143449,58413_20250331
350418,20250331,491161,14.055417102246572,6934,1058,61154,78.7243853315781,67.09,418559,0.0,28381,58584,178,329508,58584_20250331
520157,20250331,796184,10.09974955452547,11756,2765,64142,83.02864693226707,75.37,722765,17.003196096747548,100748,58657,1211,600102,58657_20250331
237079,20250331,432478,11.97076884404065,6793,750,52673,96.53898955515056,83.41,373677,45.28367301453654,41591,58687,162,360744,58687_20250331
92473,20250331,210372,12.318076462647412,2918,301,24162,91.81895617159672,67.64,154968,17.969655904664776,39263,59182,542,142290,59182_20250331
38698,20250331,77743,25.982898989485744,1203,-474,19053,104.78978086883583,77.13,57226,0.0,663,59292,21,59967,59292_20250331
653624,20250331,769241,12.704110953603308,9817,3468,91708,59.36579370673607,51.24,663948,22.430073006485173,35937,8033,1192,394158,8033_20250331
33718,20241231,40266,13.804038968946623,2161,124,2648,47.32939309363542,42.96,36546,24.578850357923614,6992,10843,83,17297,10843_20241231
373616,20241231,498118,14.094589004668387,23824,4079,62093,65.1259625041848,56.24,430128,24.9994191970316,38296,12266,4484,280125,12266_20241231
278533,20241231,495536,5.871607413469708,23471,-3050,24007,66.57194078221411,44.44,330779,10.263223188515038,10744,16249,7793,220206,16249_20241231
