COREDEP,REPDTE,ASSET,RBC1AAJ,INTINC,NETINC,EQ,LNLSDEPR,LNLSNTV,DEP,RBCRWAJ,CHBAL,CERT,NONII,LNLSNET,ID,deposits,loans,cash,tier1,assets,core_dep,net_income,equity,mortgages,T1R,LTD,CBD,BDR,LTD_baseline,LTD_delta,T1R_baseline,T1R_delta,CBD_baseline,CBD_delta,BDR_baseline,BDR_delta,INSTNAME,CITY,STALP,LTD_TREND,T1R_TREND,CBD_TREND,DAYS_TO_LTD_THRESHOLD,DAYS_TO_T1R_THRESHOLD,DAYS_TO_CBD_THRESHOLD,RISK_SCORE,SEVERITY
108448,20251231,186022,17.130213222475525,11863,645,31969,89.02726709629806,72.63,151758,0.0,34497,23805,310,135106,23805_20251231,151758,135106,34497,17.130213222475525,186022,108448,645,31969,0,0.17130213222475527,0.8902726709629806,82.97028822203772,0.2853885791852818,0.9259638773376909,-0.03569120637471035,0.1892325815157515,-0.017930449290996242,69.61420370779717,13.35608451424055,0.30468410743868035,-0.01929552825339853,UNITED PACIFIC BANK,CITY OF INDUSTRY,CA,falling,falling,rising,0.0,1292.0,0.0,71.9,high
3227195,20251231,5031931,11.342496290806398,239231,36886,539119,104.81560713943612,81.55,3914875,22.09826063257168,492799,57134,44952,4103400,57134_20251231,3914875,4103400,492799,11.342496290806398,5031931,3227195,36886,539119,0,0.11342496290806398,1.0481560713943612,45.945690475430254,0.1756582266355886,0.9762660787132553,0.07188999268110585,0.11292236505786982,0.0005025978501941586,52.97914957800242,-7.033459102572166,0.19840330976828094,-0.02274508313269233,"LEADER BANK, NATIONAL ASSOCIATION",ARLINGTON,MA,rising,stable,falling,0.0,0.0,724.0,70.6,high
508082,20251231,867250,16.5021935610978,56154,14986,143580,106.12588363546456,87.11,711832,0.0,18747,58469,3551,755438,58469_20251231,711832,755438,18747,16.5021935610978,867250,508082,14986,143580,0,0.165021935610978,1.0612588363546456,9.612738679913239,0.28623326852403375,1.0517346110062162,0.009524225348429338,0.16579690653012613,-0.0007749709191481324,12.001727572771511,-2.388988892858272,0.26345097066053197,0.022782297863501777,"AMERICAN PLUS BANK, N.A.",ARCADIA,CA,stable,falling,falling,,5265.0,468.0,69.7,high
38818,20251231,83489,13.133234859675037,4777,1131,11769,101.65805059588456,84.09,69057,19.15277664850801,8889,57884,9177,70202,57884_20251231,69057,70202,8889,13.133234859675037,83489,38818,1131,11769,0,0.13133234859675036,1.0165805059588455,46.98270993527086,0.4378846460170584,0.8898111775240864,0.12676932843475908,0.07784737605429212,0.05348497254245824,49.789474648231845,-2.806764712960984,0.44568833390853235,-0.007803687891473954,PARAMOUNT BANK,HAZELWOOD,MO,rising,rising,rising,403.0,0.0,0.0,69.7,high
1219672,20251231,1896869,12.526120914204222,97855,7824,253768,103.91813469674712,86.96,1587388,18.688744720885875,67103,33188,3357,1649584,33188_20251231,1587388,1649584,67103,12.526120914204222,1896869,1219672,7824,253768,0,0.12526120914204222,1.039181346967471,15.42949486829937,0.2316484690573445,0.9825392989018171,0.05664204806565398,0.11447386632436629,0.010787342817675932,26.78925989347388,-11.359765025174509,0.19908134530578833,0.03256712375155618,SHINHAN BANK AMERICA,NEW YORK,NY,rising,rising,falling,0.0,0.0,240.0,69.6,high
50514,20251231,120324,12.305329525246538,6717,1039,15734,104.69113269452232,80.09,92046,17.125477928397636,20614,34334,180,96364,34334_20251231,92046,96364,20614,12.305329525246538,120324,50514,1039,15734,0,0.12305329525246539,1.046911326945223,81.74293288138539,0.4512091780196858,1.0391518105174873,0.0077595164277357576,0.12566476477140304,-0.002611469518937648,69.169148777049,12.573784104336383,0.27548433613492346,0.17572484188476234,AMERICAN METRO BANK,CHICAGO,IL,rising,stable,rising,0.0,20456.0,0.0,67.6,high
820582,20251231,2006088,12.549884613265174,102493,9987,269490,125.64991920324506,75.97,1212920,14.625048673844704,137891,15118,66646,1524033,15118_20251231,1212920,1524033,137891,12.549884613265174,2006088,820582,9987,269490,0,0.12549884613265175,1.2564991920324506,41.49508211588563,0.32346568611285165,1.2404120130320826,0.016087179000368046,0.13022932663870312,-0.004730480506051377,41.70306064449412,-0.20797852860849275,0.2846907115364947,0.038774974576356924,GATEWAY FIRST BANK,JENKS,OK,rising,falling,rising,0.0,2224.0,0.0,67.1,high
202426,20251231,411598,15.670546438078798,24619,2901,62457,96.446263955009,72.75,310462,19.726515696141863,62413,26363,1115,299429,26363_20251231,310462,299429,62413,15.670546438078798,411598,202426,2901,62457,0,0.15670546438078797,0.9644626395500898,73.3769189143921,0.34798461647480206,0.9629616610674305,0.0015009784826592876,0.1552888221278456,0.001416642252942385,77.02730652940711,-3.6503876150150063,0.35730009611520364,-0.00931547964040158,COMMUNITY COMMERCE BANK,CLAREMONT,CA,rising,stable,falling,1543.0,0.0,6055.0,67.1,high
2153700,20251231,4713542,9.844507779829428,220827,68908,489417,109.87741984316315,85.62,3672862,16.77957628088926,363906,58181,25102,4035646,58181_20251231,3672862,4035646,363906,9.844507779829428,4713542,2153700,68908,489417,0,0.09844507779829428,1.0987741984316317,36.164084030382845,0.4136180450014185,1.1461186286421103,-0.04734443021047863,0.11790549545654047,-0.019460417658246187,30.967981858077213,5.196102172305633,0.4359184057341337,-0.022300360732715185,METRO CITY BANK,DORAVILLE,GA,falling,falling,rising,,789.0,0.0,66.8,high
1239403,20251231,2219657,13.374264240120285,145719,34116,291063,98.84604325945662,83.17,1867661,16.362451208986563,253690,26223,2505,1846109,26223_20251231,1867661,1846109,253690,13.374264240120285,2219657,1239403,34116,291063,0,0.13374264240120284,0.9884604325945662,49.57904566192687,0.3363875992484717,0.9782157357097301,0.01024469688483609,0.12868867950334095,0.005053962897861891,55.20349222609842,-5.624446564171549,0.32398483647158866,0.01240276277688307,"GOLDEN BANK, NATIONAL ASSOCIATION",HOUSTON,TX,rising,rising,falling,487.0,0.0,1862.0,66.7,high
