COREDEP,REPDTE,ASSET,RBC1AAJ,INTINC,NETINC,EQ,LNLSDEPR,LNLSNTV,DEP,RBCRWAJ,CHBAL,CERT,NONII,LNLSNET,ID,deposits,loans,cash,tier1,assets,core_dep,net_income,equity,mortgages,T1R,LTD,CBD,BDR,LTD_baseline,LTD_delta,T1R_baseline,T1R_delta,CBD_baseline,CBD_delta,BDR_baseline,BDR_delta,INSTNAME,CITY,STALP,LTD_TREND,T1R_TREND,CBD_TREND,DAYS_TO_LTD_THRESHOLD,DAYS_TO_T1R_THRESHOLD,DAYS_TO_CBD_THRESHOLD,RISK_SCORE,SEVERITY
291861,20251231,509981,13.853880595009857,34755,4954,71540,95.71529548730456,81.25,432912,17.1687550574482,64377,58401,1008,414363,58401_20251231,432912,414363,64377,13.853880595009857,509981,291861,4954,71540,0,0.13853880595009857,0.9571529548730457,54.27801724137931,0.3258191041135381,0.9609877365804013,-0.003834781707355517,0.13323821706787028,0.005300588882228285,54.85828332805672,-0.5802660866774119,0.34700605459233197,-0.021186950478793876,MEGA BANK,SAN GABRIEL,CA,stable,rising,rising,38877.0,0.0,0.0,58.3,high
75484,20251231,127606,12.947407015113862,9785,2481,16123,90.02384028062215,67.17,95217,16.929653865155625,8007,11175,1333,85718,11175_20251231,95217,85718,8007,12.947407015113862,127606,75484,2481,16123,0,0.12947407015113863,0.9002384028062216,30.69362613818961,0.20724240419252865,0.994004892792368,-0.09376648998614645,0.1264271077101499,0.003046962440988732,20.818685889409764,9.874940248779847,0.15678369907501083,0.05045870511751782,THE FIRST STATE BANK,ABERNATHY,TX,falling,rising,rising,0.0,0.0,0.0,45.2,medium
493413,20251231,700010,10.611104365158107,51234,10418,73203,87.86163362785557,74.37,592485,0.0,110551,21567,780,520567,21567_20251231,592485,520567,110551,10.611104365158107,700010,493413,10418,73203,0,0.10611104365158107,0.8786163362785556,68.10487185329586,0.1672143598572116,0.8509306975439237,0.027685638734631923,0.10890203388063419,-0.002790990229053117,77.57119329777163,-9.466321444475767,0.17318467117104003,-0.005970311313828441,"AMERICAN BANK, NATIONAL ASSOCIATION",DALLAS,TX,rising,falling,falling,522.0,3380.0,639.0,45.7,medium
136583,20251231,183374,9.567515099223469,11189,300,17553,95.37014563106796,85.71,164800,16.041576227178535,15542,10319,672,157170,10319_20251231,164800,157170,15542,9.567515099223469,183374,136583,300,17553,0,0.09567515099223468,0.9537014563106796,34.42251213592233,0.17121966019417476,0.9423829211643873,0.01131853514629233,0.09461945104122343,0.0010556999510112491,37.71056269891298,-3.288050562990648,0.1500827341136618,0.021136926080512958,CITIZENS SAVINGS BANK AND TRUST COMPANY,NASHVILLE,TN,rising,stable,falling,1696.0,0.0,4001.0,40.8,medium
39408,20251231,50677,16.996891996891996,2929,-326,8806,64.15926023524902,52.85,41743,35.17659650374599,16083,33568,481,26782,33568_20251231,41743,26782,16083,16.996891996891996,50677,39408,-326,8806,0,0.16996891996891997,0.6415926023524903,140.62944685336464,0.055937522458855374,0.6788492512120954,-0.03725664885960511,0.16946030810602747,0.0005086118628924996,129.36888465762968,11.260562195734963,0.06859984345697158,-0.012662320998116205,UNITED BANK OF PHILADELPHIA,PHILADELPHIA,PA,falling,rising,rising,0.0,0.0,0.0,46.5,medium
363001,20251231,799671,27.26610083961293,35617,11103,214170,83.96775868270582,59.26,564369,46.2081433126378,172446,26790,846,473888,26790_20251231,564369,473888,172446,27.26610083961293,799671,363001,11103,214170,0,0.2726610083961293,0.8396775868270582,111.52772388277882,0.35680202137254174,0.8189305765474872,0.020747010279570932,0.16839255083371593,0.10426845756241335,81.548953819194,29.978770063584818,0.39516600176934397,-0.03836398039680222,"HANA BANK USA, NATIONAL ASSOCIATION",FORT LEE,NJ,rising,rising,rising,3038.0,0.0,0.0,72.2,high
1438008,20251231,2178874,13.60802873923704,115812,33106,262775,73.72408772685786,64.47,1905323,20.616028602449894,295913,26856,15661,1404682,26856_20251231,1905323,1404682,295913,13.60802873923704,2178874,1438008,33106,262775,0,0.1360802873923704,0.7372408772685786,56.6876298664321,0.24526812514203628,0.7217873678490808,0.015453509419497746,0.1315705064813606,0.004509780911009814,54.68735197651134,2.00027788992076,0.22528492464646147,0.01998320049557481,FALCON INTERNATIONAL BANK,LAREDO,TX,rising,rising,falling,2425.0,0.0,8884.0,34.8,medium
3685554,20251231,7601679,10.537659770026083,486455,133632,789477,94.27054773918884,78.75,6350066,14.46985547417354,807903,33539,14517,5986242,33539_20251231,6350066,5986242,807903,10.537659770026083,7601679,3685554,133632,789477,0,0.10537659770026084,0.9427054773918885,46.43803623458402,0.4196038277397432,0.9308394774284955,0.011865999963392992,0.11061713592011002,-0.0052405382198491834,48.68511904032444,-2.247082805740419,0.4168766450012794,0.002727182738463785,PREFERRED BANK,LOS ANGELES,CA,rising,falling,falling,681.0,1316.0,1396.0,47.4,medium
195719,20251231,378189,15.538560333186224,25707,4614,59683,93.06602428781476,76.82,312173,0.0,69517,57444,1730,290527,57444_20251231,312173,290527,69517,15.538560333186224,378189,195719,4614,59683,0,0.15538560333186224,0.9306602428781477,81.28090834248958,0.3730431523546239,0.9398309752176418,-0.009170732339494059,0.1555786706970457,-0.00019306736518345802,83.1681239063845,-1.8872155638949124,0.3549340687777957,0.018109083576828167,AMERICAN CONTINENTAL BANK,CITY OF INDUSTRY,CA,rising,stable,falling,270.0,0.0,635.0,64.7,high
45367,20251231,66167,15.594245665805976,2848,87,9231,45.49793919751999,39.04,56774,34.83620881390398,10765,22229,677,25831,22229_20251231,56774,25831,10765,15.594245665805976,66167,45367,87,9231,0,0.15594245665805975,0.45497939197519993,69.20817627787368,0.20091943495261916,0.42989550762039974,0.02508388435480019,0.1551538614960848,0.0007885951619749643,60.81634478864791,8.391831489225765,0.18991168174748624,0.01100775320513292,COMMONWEALTH NATIONAL BANK,MOBILE,AL,rising,stable,falling,5740.0,0.0,5553.0,37.8,medium
