COREDEP,REPDTE,CHBAL,ASSET,RBC1AAJ,CERT,NETINC,EQ,LNLSNET,DEP,ID,deposits,loans,cash,assets,core_dep,T1R,LTD,CBD,BDR,LTD_baseline,LTD_delta,T1R_baseline,T1R_delta,CBD_baseline,CBD_delta,BDR_baseline,BDR_delta,RISK_SCORE,SEVERITY,INSTNAME,CITY,STALP
9700,19890630,94,13047,0.0,31559,75,1488,8547,11499,31559_19890630,11499,8547,94,13047,9700,0.0,0.7432820245238716,2.9837377163231587,0.1564483868162449,0.7479386164556354,-0.0046565919317638205,0.0,0.0,2.370752412535815,0.6129853037873438,0.1579210643507371,-0.001472677534492206,29.0,low,Dwelling House Savings and Loan,Pittsburgh,PA
9823,19890930,74,13313,0.0,31559,192,1605,8601,11649,31559_19890930,11649,8601,74,13313,9823,0.0,0.7383466391964976,2.318653961713452,0.15675165250236073,0.7468968220720833,-0.008550182875585732,0.0,0.0,2.6631026434828295,-0.3444486817693777,0.15563174830516896,0.0011199041971917678,28.6,low,Dwelling House Savings and Loan,Pittsburgh,PA
10032,19891231,53,13122,0.0,31559,169,1581,8572,11498,31559_19891231,11498,8572,53,13122,10032,0.0,0.7455209601669855,1.6824665159158114,0.12750043485823623,0.7427826978615584,0.002738262305427175,0.0,0.0,2.7474831150432677,-1.0650165991274563,0.1526037572350152,-0.02510332237677898,28.7,low,Dwelling House Savings and Loan,Pittsburgh,PA
10422,19900331,317,13571,12.077223491268144,31559,58,1639,8700,11889,31559_19900331,11889,8700,317,13571,10422,0.12077223491268145,0.7317688619732526,9.732105307427032,0.12339137017411052,0.7443481875119324,-0.012579325538679798,0.0,0.12077223491268145,1.826888228976126,7.905217078450907,0.1467766568697343,-0.023385286695623772,48.7,medium,Dwelling House Savings and Loan,Pittsburgh,PA
10328,19900630,265,13678,12.099722181605497,31559,74,1655,9029,11976,31559_19900630,11976,9029,265,13678,10328,0.12099722181605496,0.7539245156980628,8.076569806279226,0.13760855043420173,0.7397296214651519,0.014194894232910982,0.030193058728170363,0.0908041630878846,4.179240875344863,3.8973289309343624,0.1410229610877381,-0.0034144106535363705,50.4,medium,Dwelling House Savings and Loan,Pittsburgh,PA
10503,19900930,308,13718,12.305000728969237,31559,107,1688,8813,11966,31559_19900930,11966,8813,308,13718,10503,0.12305000728969237,0.7365034263747284,9.394952365034262,0.12226307872304863,0.7423902442586996,-0.005886817883971163,0.0604423641821841,0.06260764310750827,5.4524488978338805,3.942503467200382,0.1363130019922273,-0.014049923269178657,49.6,medium,Dwelling House Savings and Loan,Pittsburgh,PA
10540,19901231,303,13895,11.845987765383232,31559,65,1646,8756,12160,31559_19901231,12160,8756,303,13895,10540,0.11845987765383231,0.7200657894736842,9.094983552631579,0.13322368421052633,0.7419294410532574,-0.021863651579573262,0.0912048660046072,0.027255011649225114,7.221523498664083,1.873460053967496,0.12769085854739928,0.0055328256631270445,47.2,medium,Dwelling House Savings and Loan,Pittsburgh,PA
10869,19910331,1214,14149,11.975580322282955,31559,41,1687,8804,12346,31559_19910331,12346,8804,1214,14149,10869,0.11975580322282955,0.7131054592580592,35.8909768346023,0.11963388951887251,0.7355656483799321,-0.022460189121872864,0.12081983541806528,-0.001064032195235723,9.074652757843024,26.816324076759273,0.1291216708854718,-0.009487781366599293,52.2,medium,Dwelling House Savings and Loan,Pittsburgh,PA
10819,19910630,1282,14327,12.249598659872968,31559,51,1755,8793,12448,31559_19910630,12448,8793,1282,14327,10819,0.12249598659872968,0.7063785347043702,37.59077763496144,0.13086439588688947,0.7308997977011337,-0.024521262996763493,0.12056572749560229,0.0019302591031273852,15.614370639636842,21.9764069953246,0.1281823007216623,0.0026820951652271607,52.8,medium,Dwelling House Savings and Loan,Pittsburgh,PA
11021,19910930,267,14467,12.393723646920577,31559,89,1793,9182,12627,31559_19910930,12627,9182,267,14467,11021,0.12393723646920578,0.7271719331591036,7.717985269660251,0.12718777223410152,0.7190133024527104,0.00815863070639311,0.12094041869127098,0.0029968177779347988,22.992922596807396,-15.274937327147146,0.12649626208483422,0.0006915101492672993,54.7,medium,Dwelling House Savings and Loan,Pittsburgh,PA
